epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2933,1.06758,6.73512,0.00381,0.00054,0.02899,0.00868,0.00859,1.18516,8.44504,0.00397,0.0001429,0.0001429,0.0001429
2,103.049,1.08809,5.48242,0.00341,0.00384,0.26812,0.08211,0.05051,1.13627,7.58252,0.00317,0.000297119,0.000297119,0.000297119
3,147.681,1.07418,5.06981,0.00294,0.00366,0.33333,0.26625,0.24449,0.9561,7.05408,0.00251,0.000448226,0.000448226,0.000448226
4,193.247,1.07199,4.76889,0.00261,0.00239,0.26812,0.02477,0.0224,0.87798,6.95604,0.00217,0.00059622,0.00059622,0.00059622
5,240.853,1.10552,4.12846,0.00246,0.00344,0.33333,0.2486,0.23623,0.87521,6.59748,0.00214,0.000741102,0.000741102,0.000741102
6,287.343,1.14372,3.68303,0.00245,0.00431,0.48148,0.41569,0.35024,0.88624,6.04401,0.00235,0.000882872,0.000882872,0.000882872
7,332.318,1.05128,3.38651,0.00231,0.7903,0.36075,0.54716,0.41982,0.97997,5.60938,0.00289,0.00102153,0.00102153,0.00102153
8,375.442,1.10233,3.20844,0.00243,0.41698,0.68216,0.64881,0.4719,0.9193,5.12609,0.00241,0.00115707,0.00115707,0.00115707
9,418.148,1.12468,2.90537,0.00243,0.87834,0.26301,0.64103,0.45853,0.93702,4.81852,0.00273,0.00128951,0.00128951,0.00128951
10,460.351,1.09288,2.71985,0.00237,0.84212,0.51435,0.67394,0.47476,0.96309,4.23105,0.00259,0.00130168,0.00130168,0.00130168
11,502.693,1.12961,2.6336,0.00256,0.7842,0.58119,0.6662,0.49519,0.91294,3.7954,0.00253,0.00128753,0.00128753,0.00128753
12,545.115,1.0071,2.4366,0.00221,0.50244,0.71646,0.68101,0.50414,0.86613,3.38472,0.0023,0.00127338,0.00127338,0.00127338
13,587.378,1.00566,2.48614,0.00218,0.62634,0.75056,0.68778,0.49891,0.91859,3.19028,0.00248,0.00125923,0.00125923,0.00125923
14,630.905,1.00466,2.42538,0.00222,0.58791,0.67896,0.70052,0.51763,0.92259,3.07835,0.00321,0.00124509,0.00124509,0.00124509
15,674.341,0.96625,2.25875,0.00218,0.50751,0.70175,0.72046,0.55219,0.8247,2.71471,0.00216,0.00123094,0.00123094,0.00123094
16,717.871,0.95284,2.09487,0.00212,0.60697,0.74725,0.71914,0.53358,0.90236,2.5628,0.00238,0.00121679,0.00121679,0.00121679
17,761.377,1,2.05882,0.00218,0.63651,0.76954,0.72385,0.54232,0.85332,2.54692,0.002,0.00120265,0.00120265,0.00120265
18,807.942,0.92336,2.0162,0.00191,0.71438,0.7162,0.76265,0.57363,0.8276,2.34814,0.00225,0.0011885,0.0011885,0.0011885
19,855.752,0.95648,1.88152,0.0021,0.66249,0.7005,0.79737,0.61254,0.77515,2.29184,0.0023,0.00117435,0.00117435,0.00117435
20,901.027,0.93997,1.75419,0.00201,0.67559,0.74204,0.8169,0.62734,0.76666,2.20132,0.00201,0.00116021,0.00116021,0.00116021
21,945.364,0.8992,1.64222,0.0017,0.78009,0.79691,0.84475,0.63475,0.81756,2.05584,0.00233,0.00114606,0.00114606,0.00114606
22,989.244,0.91093,1.5618,0.00196,0.79661,0.81083,0.84051,0.62815,0.83713,1.97607,0.00257,0.00113191,0.00113191,0.00113191
23,1034.05,0.86817,1.56099,0.00188,0.73951,0.83319,0.87381,0.65279,0.77071,1.96741,0.00217,0.00111776,0.00111776,0.00111776
24,1079.3,0.93378,1.50745,0.002,0.82904,0.80302,0.89057,0.68068,0.75073,1.73299,0.00188,0.00110362,0.00110362,0.00110362
25,1125.62,0.8339,1.29379,0.00161,0.89151,0.82361,0.90796,0.66547,0.78415,1.62189,0.00209,0.00108947,0.00108947,0.00108947
26,1170.46,0.95132,1.26361,0.0018,0.89268,0.83301,0.92476,0.71224,0.7727,1.52414,0.00215,0.00107532,0.00107532,0.00107532
27,1215.41,0.93393,1.2352,0.00195,0.91496,0.81961,0.91839,0.70014,0.76262,1.46757,0.00195,0.00106118,0.00106118,0.00106118
28,1260.1,0.891,1.23728,0.00185,0.81911,0.91663,0.92779,0.68558,0.83923,1.48282,0.00275,0.00104703,0.00104703,0.00104703
29,1303.67,0.87446,1.13176,0.00173,0.93626,0.84173,0.93137,0.70446,0.79638,1.40335,0.00213,0.00103288,0.00103288,0.00103288
30,1349.12,0.85898,1.05411,0.00175,0.87252,0.89202,0.93145,0.68868,0.79516,1.30152,0.00208,0.00101873,0.00101873,0.00101873
31,1408.92,0.8621,1.06155,0.00192,0.86344,0.86423,0.9344,0.70422,0.77282,1.27439,0.00212,0.00100459,0.00100459,0.00100459
32,1467.63,0.84477,1.00834,0.00178,0.85523,0.89591,0.93143,0.70281,0.85158,1.42715,0.00296,0.00099044,0.00099044,0.00099044
33,1531,0.88707,1.01781,0.00187,0.87179,0.88529,0.93371,0.7274,0.66271,1.28715,0.00173,0.000976293,0.000976293,0.000976293
34,1612.29,0.85411,0.95649,0.00177,0.88279,0.88912,0.93987,0.70891,0.75893,1.14396,0.00211,0.000962146,0.000962146,0.000962146
35,1676.77,0.84349,0.9468,0.00175,0.87387,0.89889,0.93392,0.71826,0.76768,1.14666,0.002,0.000947999,0.000947999,0.000947999
36,1740.4,0.82622,0.89168,0.00165,0.85078,0.92487,0.93719,0.69038,0.75875,1.1462,0.00193,0.000933851,0.000933851,0.000933851
37,1802.15,0.78323,0.85844,0.00153,0.82465,0.92053,0.93454,0.73493,0.71746,1.05497,0.0022,0.000919704,0.000919704,0.000919704
38,1858.59,0.8107,0.8135,0.00167,0.85387,0.93852,0.93334,0.7181,0.71458,1.0315,0.00175,0.000905557,0.000905557,0.000905557
39,1922.46,0.81544,0.76915,0.00165,0.86278,0.8649,0.92861,0.73959,0.70074,0.99618,0.00196,0.00089141,0.00089141,0.00089141
40,1996.68,0.79799,0.73781,0.0015,0.85831,0.89027,0.92924,0.6783,0.83744,1.04797,0.0023,0.000877263,0.000877263,0.000877263
41,2071.71,0.78786,0.76125,0.00168,0.85474,0.91054,0.93156,0.70764,0.78213,0.98313,0.00262,0.000863116,0.000863116,0.000863116
42,2146.7,0.82114,0.7308,0.0017,0.90927,0.92915,0.94853,0.76403,0.66737,0.86079,0.002,0.000848969,0.000848969,0.000848969
43,2217.15,0.80364,0.72109,0.00171,0.95519,0.89661,0.95011,0.73883,0.71216,0.84413,0.00195,0.000834822,0.000834822,0.000834822
44,2286.14,0.76531,0.67715,0.00166,0.93885,0.88886,0.94653,0.75599,0.66355,0.82313,0.00214,0.000820675,0.000820675,0.000820675
45,2355.96,0.77488,0.6529,0.00155,0.89996,0.89064,0.94329,0.73743,0.71361,0.83326,0.00194,0.000806528,0.000806528,0.000806528
46,2426.79,0.80762,0.67756,0.00152,0.89001,0.89789,0.93605,0.74629,0.69023,0.81729,0.00178,0.00079238,0.00079238,0.00079238
47,2498.4,0.80057,0.65919,0.00158,0.94974,0.86645,0.93571,0.75139,0.63971,0.78447,0.00162,0.000778233,0.000778233,0.000778233
48,2569.67,0.76233,0.65698,0.00157,0.93113,0.8731,0.93556,0.7588,0.65095,0.75959,0.00178,0.000764086,0.000764086,0.000764086
49,2667.43,0.80845,0.62704,0.00153,0.94042,0.88094,0.93585,0.76783,0.6613,0.75501,0.00183,0.000749939,0.000749939,0.000749939
50,2738.62,0.76486,0.61809,0.00157,0.89723,0.8731,0.93767,0.74297,0.71153,0.70652,0.00187,0.000735792,0.000735792,0.000735792
51,2809.67,0.72062,0.59635,0.00153,0.9413,0.88377,0.93946,0.7649,0.63155,0.69416,0.00178,0.000721645,0.000721645,0.000721645
52,2885.45,0.74575,0.59734,0.00144,0.93983,0.88045,0.93724,0.75265,0.66622,0.68705,0.00196,0.000707498,0.000707498,0.000707498
53,2952.97,0.71663,0.61911,0.00152,0.94448,0.88064,0.94052,0.76278,0.65202,0.70633,0.00179,0.000693351,0.000693351,0.000693351
54,3018.11,0.75589,0.58835,0.00151,0.96432,0.89789,0.94276,0.75464,0.66619,0.6884,0.00178,0.000679204,0.000679204,0.000679204
55,3087.58,0.77185,0.59024,0.0015,0.95169,0.91937,0.94837,0.74208,0.7114,0.64409,0.00187,0.000665057,0.000665057,0.000665057
56,3152.98,0.73112,0.55181,0.00137,0.89678,0.92701,0.94671,0.74676,0.69555,0.66933,0.00188,0.000650909,0.000650909,0.000650909
57,3214.95,0.75207,0.55654,0.00151,0.90553,0.94532,0.94908,0.7469,0.70545,0.67142,0.00203,0.000636762,0.000636762,0.000636762
58,3277.5,0.73585,0.54152,0.00151,0.96135,0.92769,0.95571,0.74967,0.65103,0.65968,0.00165,0.000622615,0.000622615,0.000622615
59,3346.64,0.76455,0.52727,0.00152,0.94446,0.92535,0.95665,0.77283,0.65147,0.61634,0.00165,0.000608468,0.000608468,0.000608468
60,3410.3,0.73612,0.51997,0.00157,0.95781,0.94427,0.95841,0.7663,0.66746,0.59112,0.00172,0.000594321,0.000594321,0.000594321
61,3475.22,0.7508,0.50801,0.00135,0.95941,0.93261,0.9597,0.76269,0.67293,0.6218,0.0018,0.000580174,0.000580174,0.000580174
62,3548.35,0.68311,0.49616,0.00149,0.93379,0.94622,0.95816,0.77168,0.65999,0.59271,0.00181,0.000566027,0.000566027,0.000566027
63,3623.29,0.68943,0.47192,0.00148,0.95998,0.90389,0.95396,0.77187,0.62793,0.59191,0.00158,0.00055188,0.00055188,0.00055188
64,3706.1,0.72416,0.46189,0.00138,0.93049,0.89631,0.95125,0.77246,0.64536,0.58245,0.00167,0.000537733,0.000537733,0.000537733
65,3781.15,0.70206,0.4905,0.00128,0.9081,0.9214,0.95401,0.76898,0.66443,0.5782,0.00182,0.000523586,0.000523586,0.000523586
66,3852.22,0.69697,0.46544,0.00126,0.91203,0.95257,0.95291,0.76669,0.62812,0.55075,0.00161,0.000509438,0.000509438,0.000509438
67,3918.38,0.68226,0.45325,0.00127,0.95668,0.92788,0.95767,0.77004,0.64237,0.56585,0.00169,0.000495291,0.000495291,0.000495291
68,3980.15,0.64885,0.45523,0.00126,0.96153,0.88854,0.95963,0.7712,0.66182,0.57722,0.00191,0.000481144,0.000481144,0.000481144
69,4049.5,0.74971,0.47181,0.00153,0.95828,0.90558,0.96187,0.77137,0.68716,0.5584,0.00207,0.000466997,0.000466997,0.000466997
70,4118.24,0.70577,0.45443,0.00141,0.95421,0.94532,0.96139,0.78335,0.63814,0.525,0.00185,0.00045285,0.00045285,0.00045285
71,4182.85,0.68966,0.45034,0.00142,0.91479,0.94532,0.9569,0.76595,0.62068,0.54876,0.00156,0.000438703,0.000438703,0.000438703
72,4249.24,0.70814,0.40992,0.00129,0.91313,0.94532,0.95562,0.7682,0.63246,0.53532,0.00171,0.000424556,0.000424556,0.000424556
73,4312.47,0.70803,0.44686,0.0014,0.9441,0.94334,0.94963,0.76202,0.64593,0.52467,0.00169,0.000410409,0.000410409,0.000410409
74,4378.85,0.66405,0.41528,0.00127,0.93887,0.94114,0.94878,0.76529,0.63207,0.50677,0.00159,0.000396262,0.000396262,0.000396262
75,4450.22,0.67351,0.40856,0.00125,0.94505,0.93447,0.9514,0.76655,0.62396,0.48799,0.00159,0.000382115,0.000382115,0.000382115
76,4522.27,0.68466,0.39745,0.00135,0.94629,0.93074,0.95093,0.75563,0.63215,0.48117,0.00158,0.000367967,0.000367967,0.000367967
77,4592.54,0.67651,0.39921,0.00124,0.94562,0.94594,0.95225,0.76811,0.64674,0.48188,0.00166,0.00035382,0.00035382,0.00035382
78,4663.87,0.66324,0.41465,0.00126,0.94849,0.93174,0.95034,0.75403,0.6441,0.48471,0.00163,0.000339673,0.000339673,0.000339673
