epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6487,1.13766,8.87284,0.00534,0.00026,0.03571,0.00014,0.00012,0.61759,12.465,0.00273,0.00010002,0.00010002,0.00010002
2,52.63,0.81726,7.90443,0.00321,0.00014,0.03571,8e-05,6e-05,0.32435,11.8957,0.00152,0.000214565,0.000214565,0.000214565
3,77.1696,0.7504,7.33807,0.00352,0.00027,0.07143,0.00125,0.00106,0.43487,11.9844,0.00199,0.000326799,0.000326799,0.000326799
4,101.382,0.77391,7.24395,0.00321,0.00052,0.14286,0.04757,0.03231,0.45392,11.9173,0.0022,0.000436722,0.000436722,0.000436722
5,125.65,0.81073,7.28586,0.00418,0.00066,0.17857,0.04368,0.03026,0.48362,11.7768,0.00239,0.000544336,0.000544336,0.000544336
6,150.121,0.61189,7.98072,0.00237,0.0004,0.10714,0.03563,0.02477,0.50023,11.8589,0.00229,0.000649638,0.000649638,0.000649638
7,174.417,0.75402,5.40192,0.00312,0.00043,0.10714,0.03524,0.02113,0.59205,11.7346,0.00278,0.00075263,0.00075263,0.00075263
8,198.71,0.75565,5.00591,0.00282,0.00134,0.32143,0.15893,0.12382,0.51266,11.2913,0.00276,0.000853312,0.000853312,0.000853312
9,222.864,0.68992,5.77228,0.00321,0.00312,0.71429,0.44138,0.35008,0.68052,10.9268,0.00338,0.000951684,0.000951684,0.000951684
10,246.813,0.65813,4.80553,0.00245,0.51707,0.57365,0.62127,0.51849,0.60312,10.4352,0.00287,0.00104774,0.00104774,0.00104774
11,271.167,0.61166,4.44407,0.00235,0.51025,0.89286,0.77801,0.6703,0.532,9.97394,0.00246,0.00114149,0.00114149,0.00114149
12,295.112,0.60909,4.45141,0.00231,1,0.1693,0.87984,0.77724,0.49668,9.41335,0.0022,0.00123293,0.00123293,0.00123293
13,319.021,0.65265,4.32679,0.00278,1,0.14981,0.88561,0.81368,0.47758,9.09722,0.00215,0.00132206,0.00132206,0.00132206
14,342.936,0.68711,3.95433,0.0029,0.98246,0.57143,0.87489,0.7973,0.41173,8.26749,0.00204,0.00140888,0.00140888,0.00140888
15,366.677,0.61652,3.87651,0.0028,0.91256,0.74567,0.88639,0.8085,0.47304,7.40472,0.00219,0.00143595,0.00143595,0.00143595
16,390.623,0.58018,3.43353,0.00221,0.9277,0.75,0.92613,0.83054,0.56037,6.99377,0.00253,0.00141945,0.00141945,0.00141945
17,414.443,0.6894,3.58132,0.00257,0.9093,0.78571,0.93941,0.85751,0.50414,6.75382,0.00217,0.00140295,0.00140295,0.00140295
18,438.374,0.66866,3.72648,0.00279,0.95383,0.73827,0.9659,0.85669,0.53952,6.45988,0.00266,0.00138644,0.00138644,0.00138644
